"Now Shopping by",現在買い物をしている人
"Please correct Table Rates File Format.",テーブルレートファイルフォーマットを修正してください
"For matching items only",一致する商品のみ
"For shipment with matching items",一致する商品の配送
"Flat Rate",定額
"Method Name",配送方法名
"Table Rates",料金表
Condition,条件
"Include Virtual Products in Price Calculation",仮想商品を配送料計算に含める
Import,インポート
"Free Shipping",送料無料
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","重複した行 #%1 (国 ""%2"", 都道府県 ""%3"", 郵便番号 ""%4"" ,値 ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.",申し訳ありません、この配送モジュールでは送り先の国に届けることはできません
"Dictionary (Translation on Storefront side)",辞書（ストアフロント側で翻訳）
"Embedded (Translation on Admin side)",エンベッド（管理者ページ側で翻訳）
"Error while translating phrase ""%s"" in file %s.","""%s"" の %s における翻訳中にエラーが発生しました。"
"Error while generating js translation dictionary: ""%s""","Js 翻訳辞書の生成中のエラー: ""%s"""
"Translation Strategy",翻訳ストラテジ
Translations,翻訳
"Translation files",翻訳ファイル
"Translation files.",翻訳ファイル。
"Unknown schema type supplied",不明なスキーマタイプが提供されました
"Custom Variables",カスタム変数
"Add New Variable",新しい変数を追加
"Custom Variable ""%1""","カスタム変数 ""%1"""
"New Custom Variable",新しいカスタム変数
"Variable Code",変数コード
"Variable Name",変数名
"Use Default Variable Values",標準の値を使用
"Variable HTML Value",任意HTMLの値
"Variable Plain Value",変数のもとの値
"You deleted the custom variable.",カスタム変数を削除しました。
"You saved the custom variable.",カスタム変数を保存しました。
"Variable Code must be unique.",変数のコードはユニークである必要があります。
"Validation has failed.",認証失敗
"Insert Variable...",変数の挿入...
"Variable ID",変数ID
"Base URL",ベースURL
"Secure Base URL",セキュアベースURL
Web,ウェブ
"Catalog Total Price (Excl. Tax)",カタログ合計価格（税抜）
"Catalog Total Price (Incl. Tax)",カタログ合計価格（税込）
"Catalog Total Price",カタログ合計価格
"Negotiated Discount",交渉割引
"Save as Draft",下書きとして保存
Decline,拒否
Send,送信
"This action cannot be performed because you have products requiring attention. You must resolve these issues before you can continue.","注意が必要な商品があるため、この操作は実行できません。 続行する前に、これらの問題を解決する必要があります。"
"Cannot Perform the Requested Action",要求されたアクションを実行できません
"%creator (for %customer)","%creator (%customerの)"
"Items Quoted",見積もりされた商品
"Add to Quote by SKU",SKUによる見積もりの追加
"Add to Quote",見積もりに追加
"Total Cost",合計コスト
"Negotiated Price",交渉価格
"Quote Subtotal (Incl. Tax)","見積もり小計 (税込)"
"Percentage Discount",割引率
"Amount Discount",割引価格
"Proposed Price",提案価格
"Quote Subtotal",見積もり小計
"My Quotes",見積もり
"created quote",作成済みの見積もり
"closed quote",クローズ済みの見積もり
"updated quote",更新済みの見積もり
"Percentage Discount - %1%","割引率 - %1%"
"Amount Discount - %1","割引価格 - %1"
"Proposed Price - %1","提案価格 - %1"
Qty:,個数:
"Qty: ","個数: "
" - deleted from catalog"," - カタログから削除済"
(Removed),（削除済）
deleted,削除済
"Renderer list for block ""%1"" is not defined","ブロック ""%1""のレンダラーリストが定義されていません"
"This quote is currently locked for editing. It will become available once released by the Merchant.","この見積もりは現在編集のためにロックされています。 マーチャントによって一度リリースされると利用可能になります。"
"Your quote has expired and the product prices have been updated as per the latest prices in your catalog. You can either re-submit the quote to seller for further negotiation or go to checkout.","あなたの見積もりは期限切れとなり、商品価格はカタログの最新価格に従って更新されました。 より詳細な交渉のために見積もりを販売業者に再送信するか、レジに進むことができます。"
"You are not an owner of this quote. You cannot edit it or take any actions on it.",あなたはこの見積もりの所有者ではありません。これを編集したり、いずれの操作もできません。
"Estimated Tax",税見積もり
"Quote Subtotal (Excl. Tax)","見積もり小計 (税抜)"
"Quote Grand Total (Incl. Tax)","見積もり合計 (税込)"
"Grand Total to Be Charged",お支払合計
"Requested quote was not found",要求された見積もりは見つかりませんでした
Quotes,見積もり
"Something went wrong. Please try again later.",問題が発生しました。後で再度お試し下さい。
"Something went wrong during quote declining",見積もり拒否中に何か問題が発生しました
"Attachment not found.",添付ファイルが見つかりません。
"Quote #%1","見積もり #%1"
"Exception occurred during quote print: %1","見積もりを印刷中にエクセプションが発生しました: %1"
"Exception occurred during update quote",見積もりの更新中にエクセプションが発生しました
"Exception occurred during quote saving",見積もりの保存中にエクセプションが発生しました
"The changes have been saved.",変更を保存しました。
"The quote has been sent to the buyer.",見積もりを購入者に送信しました。
"Exception occurred during quote sending",見積もりの送信中にエクセプションが発生しました
"Exception occurred during quote view %1","見積もりの表示中 %1 に例外が発生しました"
"Requested quote was not found.",要求された見積もりは見つかりませんでした.
"An error occurred on the server. %1",サバーでエラーが発生しました。%1
"This quote is currently locked for editing. It will become available once released by the buyer.","この見積もりは現在編集のためにロックされています。 購入者によって一度リリースされると利用可能になります。"
"An error occurred while quote creation.",クオート作成中にエラーが発生しました。
"%1 products require your attention. Please contact the Seller if you have any questions.","%1 商品は注意が必要です。ご不明な点がございましたら、販売者にお問い合わせ下さい。"
"You closed the quote.",見積もりをクローズしました。
"We can't close the quote right now because of an error: %1.",このエラーのため、現在見積もりをクローズできません：%1
"We can't close the quote right now.",現在見積もりをクローズできません。
"An error occurred while creating quote.",見積もりの作成中にエラーが発生しました
"Quote with ID %1 was successfully created.","ID %1 のクオートは正常に作成されました。"
"The quote could not be created. Please try again later.",見積もりを作成できませんでした。後で再度お試し下さい。
"You have deleted the quote.",クオートを削除しました。
"We can't delete the quote right now.",現在見積商品を削除できません。
"You've removed the item from quote.",見積もりから商品を削除しました。
"We can't delete the quote item right now.",現在見積もり商品を削除できません。
"You have updated the items in the quote.",見積もりの商品を更新しました。
"We can't update the items right now.",現在商品を更新できません。
"We can't order the quote right now because of an error: %1.",このエラーのため、現在見積もりを注文できません：%1
"We can't order the quote right now.",現在見積もりを注文できません。
Quote,見積もり
"This quote will be charged in %1. The prices are given in %2 as reference only.","この見積もりは %1で請求されます。 価格は参考として%2に記載されています。"
"We can't send the quote right now because of an error: %1.",このエラーのため、現在見積もりを送信できません：%1
"We can't send the quote right now.",現在見積もりを送信できません。
"Cannot obtain the requested data. You must fix the errors listed below first.",要求されたデータを取得できません。最初に下記のエラーを修正する必要があります。
"Requested attachment is not found. Row ID: %fieldName = %fieldValue","要求された添付ファイルが見つかりません。行ID: %fieldName = %fieldValue"
"Requested quote is not found. Row ID: %fieldName = %fieldValue","要求された見積もりが見つかりません。行ID: %fieldName = %fieldValue"
"There was an error saving comment.",コメントの保存でエラーがありました。
"Cannot delete comment with id %1","id %1 のコメントを削除できません"
"There was an error saving company quote config.",会社の見積もり設定の保存でエラーがありました。
" - deleted"," - 削除済み"
"Product with ID #%1 is deleted","ID #%1の商品が削除されます"
"There was an error saving history log.",履歴ログの保存でエラーがありました
"There was an error during updating history log.",履歴ログの保存中にエラーが発生しました。
"Could not save history log",履歴ログを保存できませんでした
"Cannot delete history log with id %1","id %1 の履歴ログを削除できません"
"There was an error saving negotiable quote item.",交渉見積もり商品の保存でエラーがありました。
"Cannot send a B2B quote.",B2Bの見積もりを送信できません
"Cannot create a B2B quote.",B2Bの見積もりを作成できません
"Changes to the negotiated quote were not saved. Please try again.","交渉された見積もりの変更は保存されませんでした。 再度一度お試し下さい。"
"Cannot delete negotiable quote",交渉された見積もりを削除できません
"Shipping method cannot be set for a virtual quote.",配送方法は仮想の見積もりに対して設定できません
"Cannot add the shipping method. You must add a shipping address into the quote first.",配送方法を追加できません。最初に見積もりに配送先住所を追加する必要があります。
"Requested shipping method is not found. Row ID: ShippingMethodID = %ShippingMethodID.","要求された配送方法が見つかりません。行ID: 配送方法ID = %ShippingMethodID"
"Product with SKU %1 not found","SKU %1 の商品が見つかりません"
"Negotiated quote not found.",交渉された見積もりが見つかりません。
"Catalog Price: ","カタログ価格: "
"Quote Discount",見積もりの割引
"Discount amount: ","割引価格: "
"Cart Price: ","カート価格: "
"Unable to update shipping address",配送先住所を更新できません
"Cannot save removed quote item notification",削除された見積もり商品の通知を保存できません
"There is an error while saving comment.",コメントを保存中にエラーが発生しました。
discount,値引き
"%1 - deleted","%1 - 削除済"
"Cart rule deleted.",カートルールを削除しました。
"Products %1","商品: %1"
"Product %1","製品 %1"
"Client reviewed",クライアントのレビュー
Open,オープン
Submitted,送信済
Expired,有効期限切れ
Declined,拒否
"Catalog prices have changed, and you may want to review the offer. Details about the changes are available in the History Log.","カタログ価格が変更されたため、オファーを確認してください。 変更の詳細は履歴ログで確認できます。"
"The discount has changed for this quote. Check the History Log for details.","この見積もりに対して割引が変更されました。 詳細については履歴ログをご確認下さい。"
"The discount for this quote has been removed because the buyer has reached the maximum number of attempts to request a discount. You may want to review the offer amount.","購入者による、割引を要求する回数が最大試行回数に達したため、この見積もりの割引は削除されました。 オファー額を確認して下さい。"
"The discount for this quote has been removed because the cart rule has been deleted. You may want to review the offer amount.","カートルールが削除されたため、この見積もりの割引は削除されました。 オファー額を確認して下さい。"
"Quote taxes have been recalculated because the buyer added or changed the shipping address. You may want to review the offer amount.","購入者が配送先住所を追加または変更したため、見積税が再計算されました。 オファー額を確認して下さい。"
"Buyer added or changed the shipping address. You may want to offer the shipping price or / and review the offer amount.","購入者が配送先住所を追加または変更しました。 配送料を提示するか、またはオファー額を確認して下さい。"
"has been deleted from the catalog, so the items quoted list has been updated.",カタログから削除され、商品の見積もりリストが更新されました。
"have been deleted from the catalog, so the items quoted list has been updated.",カタログから削除され、商品の見積もりリストが更新されました。
"has been deleted from the quote. You may want to review the offer amount.",見積もりから削除しました。オファー額を確認して下さい。
"has been deleted from the catalog. The items quoted list has been updated.",カタログから削除されました。商品の見積もりリストが更新されました。
"have been deleted from the quote. You may want to review the offer amount.",見積もりから削除されました。オファー額を確認して下さい。
"have been deleted from the catalog. The items quoted list has been updated.",カタログから削除されました。商品の見積もりリストが更新されました。
"Catalog prices have changed. You may want to re-submit this quote. Details about the changes are available in the History Log.","カタログ価格が変更されました。この見積もりを再送信して下さい。 変更の詳細は履歴ログで確認できます。"
"The discount for this quote has been removed because you have already used your discount on previous orders. Please re-submit the quote to the Seller for further negotiation.","過去の注文で既に割引を使用しているため、この見積もりの割引は削除されました。 さらなる交渉のために、見積もりを販売業者に再送信して下さい。"
"The discount is no longer valid for this quote, and the prices have been updated. Please re-submit the quote to the Seller for further negotiation.","割引はこの見積もりに対して有効ではなくなり、価格は更新されました。 さらなる交渉のために、見積もりを販売業者に再送信してください。"
"Quote taxes have been recalculated because you have added or changed the shipping address. The negotiated price is no longer valid. Please re-submit the quote to Seller.","配送先住所を追加または変更したため、見積税が再計算されました。 交渉された価格はもはや有効ではありません。 見積もりを販売業者に再送信して下さい。"
"You have added or changed the shipping address on this quote. Please re-submit the quote to Seller.",この見積もりの配送先住所を追加もしくは変更しました。販売者に見積もりを再送信して下さい。
"is no longer available in catalog. It was removed from your quote.",カタログで利用できません。見積もりから削除されました。
"are no longer available in catalog. They were removed from your quote.",カタログで利用できません。見積もりから削除されました。
"is no longer available. It was removed from your quote.","もう利用できません。 見積もりから削除されました。"
"are no longer available. They were removed from your quote.","もう利用できません。 見積もりから削除されました。"
"The quote %quoteId is currently locked, and you cannot place an order from it at the moment.","見積もり %quoteId は現在ロックされており、現在この見積もりから注文できません。"
"The quote %quoteId is currently locked and cannot be closed.","見積もり %quoteId は現在ロックされており、クローズできません。"
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","要求された属性を更新できません。行ID: %fieldName = %fieldValue"
"Invalid attribute %fieldName: Cannot create a B2B Quote for an individual user. The user must be a company member. Row ID: %fieldName = %fieldValue","不正な属性 %fieldName: 個々のユーザーのB2Bの見積もりを作成できません。 ユーザーは社員でなければなりません。行ID: %fieldName = %fieldValue"
"Invalid attribute %fieldName: Quoting is not allowed for this company. Row ID: %fieldName = %fieldValue","無効な属性%fieldName: この会社では見積もりを使用できません。行ID: %fieldName = %fieldValue"
"The quote %quoteId is currently locked and cannot be declined.","見積もり %quoteId は現在ロックされており、拒否できません。"
"The quote %quoteId is currently locked and cannot be updated. Please check the quote status.","この見積もり %quoteId は現在ロックされており、更新できません。見積もりのステータスを確認して下さい。"
"The expiration date is in the wrong format. The correct format is %dateformat.","有効期限日が不正な形式です。正しい形式は %dateformat です。"
"Cannot update the expiration date. You must specify today's date or a future date.","有効期限を更新できません。 今日の日付または将来の日付を指定する必要があります。"
"Cannot create the B2B quote. You cannot attach more than ten files per one request.",B2Bの見積もりを作成できません。1回のリクエストにつき10個以上のファイルを添付することはできません。
"%fileType is not an allowed file type. Please select a different file.","%fileType は許可されたファイルタイプではありません。別のファイルを指定して下さい。"
"The maximum file name length is 20 characters. The only special symbols that are allowed in the file name are: dash and underscore. Row ID: %fieldName = %fieldValue","最長のファイル名の長さは20文字です。 ファイル名に使用できる特殊記号はダッシュとアンダースコアのみです。 行ID: %fieldName = %fieldValue"
"Cannot attach the file %filename. The maximum allowed file size is %size Mb.","ファイル %filename を添付できません。 許可されるファイルの最大サイズは %size Mbです。"
"""%fieldName"" is required. Enter and try again.","""%fieldName"" は必須です。入力して再度お試し下さい。"
"Invalid attribute value. Row ID: %fieldName = %fieldValue","不正な属性値。行ID: %fieldName = %fieldValue"
"Invalid attribute value. The price must be NULL, 0 or a positive number. Row ID: %fieldName = %fieldValue","不正な属性値。価格はNULL、0または正の数でなければなりません。行ID: %fieldName = %fieldValue"
"You cannot update the quote status.",見積もりステータスを更新できません。
"Invalid attribute %fieldName: A B2B quote for this quoteID already exists. Row ID: %fieldName = %fieldValue","無効な属性 %fieldName: この quoteID の B2Bの見積もりは既に存在します。行 ID: %fieldName %fieldValue"
"Cannot create a B2B quote. You must provide one or more quote items.",B2Bの見積もりを作成できません。1つまたは複数の見積もり商品を指定する必要があります。
"'Cannot create the B2B quote.' .",'B2Bの見積もりを作成できません'
"Cannot create the B2B quote. The minimum order for a quote request is %currency%amount","B2Bの見積もりを作成できません。見積りリクエストの最小注文は %currency%amountです"
"The quote %quoteId is currently locked and cannot be submitted to the customer. Please check the quote status.","この見積もり %quoteId は現在ロックされており、顧客に送信できません。見積もりのステータスを確認して下さい。"
"You are not allowed to do this.",この操作は許可されていません
"Cannot delete all items from a B2B quote. The quote must contain at least one item.","B2Bの見積もりからすべての商品を削除することはできません。 見積もりには少なくとも1つの商品が含まれている必要があります。"
"Cannot set the shipping price. You must select a shipping method first.",配送価格を設定できません。最初に配送方法を選択する必要があります。
"Product with SKU %1 not found in catalog","SKU %1 の商品がカタログで見つかりません"
message,メッセージ
"Street: street1, Postcode: 12345","番地: street1、郵便番号: 12345"
test,テスト
"No such entity.",そのようなエンティティはありません。
"Validation error message",認証エラーメッセージ
"Message 1","メッセージ 1"
"Message 2","メッセージ 2"
"exception message",例外メッセージ
"Associated Products",紐付け済み商品
"Choose an Option...",オプションを選択してください...
Availability:,在庫状況:
"Out of stock",在庫切れ
"Choose an Amount...",額を選択してください...
"Other Amount...",注文額...
"Amount in %1",%1の金額
Minimum,最小
Maximum,最大
"Sender Name",送信者名
"Sender Email",送信者メールアドレス
"Recipient Name",受取人名
"Recipient Email",受取人メールアドレス
"Bundle Items",セット商品
"Order Placed From Quote",見積もりから注文を確定済み
Comments,コメント
"Request Declined. Reason: ","要求が拒否されました。理由: "
"Created By",作成者
rate,レート
Expires,失効
"Company Admin Email",会社管理者メール
Seller,販売業者
Store,店舗
"Catalog Price",カタログ価格
"The information in this tab has been changed.",このタブの情報が変更されています。
"History Log",履歴ログ
"Add your comment",あなたのコメントを追加
"Attach file",ファイルを添付
"Quote & Account Information",見積もりとアカウント情報
"Quote # %1","見積もり # %1"
"Edit Company",会社を編集
"Sales Rep",販売担当者
"Add Product By SKU",SKUによる商品の追加
"Name & SKU","名前 & SKU"
Stock,在庫数
Cost,原価
"Cart Price",カート価格
"Recalculate Quote",見積もりの再計算
"Update Prices",価格を更新
"Delete Action",アクションの削除
"The quote list has changed. Please update the negotiated price.",見積もりリストが変更されました。交渉価格を更新して下さい。
Negotiation,交渉
"Quote Totals",見積もり合計
"Shipping Methods & Price",配送方法と配送価格
"Sorry, rates are not available for this quote.",申し訳ありませんが、この見積もりでレートはご利用いただけません。
"You have no shipping address for this quote.",この見積もりに対する配送先住所がありません。
"Proposed Shipping Price",提案された配送料
"Sorry, rates are not available for this quote..",申し訳ありませんが、この見積もりでレートはご利用いただけません..
"Enter SKU",SKUを入力
"The negotiated price cannot be higher than the catalog total price.",交渉価格はカタログの合計価格よりも高くすることはできません。
"Negotiated Price cannot be less than 0",交渉価格は0未満にできません
"Products Not Added to the Quote",見積りに追加されていない商品
"Add Products to Quote",商品を見積もりに追加
"Remove All",すべて削除
Never,まだ
(Updated),(更新)
(Added),(追加済み)
"Shipping address",お届け先住所
"Proposed shipping price",提案された配送料
"Shipping method",配送方法
removed,削除済
" - removed"," - 削除済"
"Request a Quote",見積もりをリクエスト
"Quote name",見積り名
"Send Request",リクエストを送信
"Order Placed From Quote:",見積もりから注文を確定済み:
"Cannot Open the Quote",見積もりを開くことができません
"This quote cannot be viewed at the current website. Would you like to navigate to the website where you created this quote?","この見積もりは現在のウェブサイトでは表示できません。 この見積もりを作成したウェブサイトに移動しますか？"
"Show My Orders",注文を表示
"Show All Orders",全ての注文を表示
Merge,マージ
Replace,置き換え
"Quote Comments",見積もりのコメント
Expires:,失効:
"Sales Rep.:",販売担当者.:
"Select Existing Address",既存の住所を選択
"Select a shipping address from your address book.",アドレス帳からお届け先住所を選択して下さい。
"Send for Review",レビューのために送信
"Proceed to Checkout",レジに進む
"Close quote",見積もりを閉じる
"Remove item",商品を削除
"Quote Items",見積もり商品
"No shipping information available.",有効な配送情報がありません。
"Your quote number is: %1.","あなたのクオート番号は: %1."
"The quote has been sent to the merchant.",見積もりをマーチャントに送信しました。
"Continue Shopping",お買い物を続ける
"Please specify the reason",理由を指定してください
"New quote ","新規見積もり "
" submitted by buyer"," 購入者による送信"
"Thank you,",ありがとうございます、
"Your quote ","あなたの見積もり "
" has been declined by the seller."," 販売者に拒否されました。"
"Reason: %reason.","理由: %reason"
" expires on "," で期限切れ "
" after which time you can’t order the items in the quote. After the expiration,
    you’ll have to negotiate the price with the seller again."," その後は、見積もりの商品を注文できません。有効期限が切れた後、
    販売者との価格交渉をもう一度行う必要があります。"
"%merchant_name,",%merchant_name、
"The quote ","見積もり "
" after which time it will be reset to its default expiration period. To extend the
    lifetime of the quote, update its expiration date."," その後、デフォルトの有効期限にリセットされます。 見積もりの有効期間を延長するには、
    その有効期限を更新して下さい。"
"Expiration date for the Quote %quoteName has been reset so you can keep working on the quote.
    You can set a new expiration date if you wish.","見積もり %quoteName の有効期限日がリセットされているため、見積もりで作業を続けることができます。
    必要に応じて新しい有効期限を設定できます。"
"Quote ","見積もり "
" updated by buyer"," 購入者による更新"
"The seller responded to your quote ","販売者があなたの見積もりに返信しました "
"The Quote expires after ","見積もりはこれ以降に失効します: 後"
"Item in Quote",見積もりの商品
"Items in Quote",見積もりの商品
"Apply Discount Code",ディスカウントコード適用
"Enter discount code",ディスカウントコード入力
"Apply Discount",ディスカウント適用
"Cancel coupon",クーポンをキャンセル
"Apply Gift Card",ギフトカードを適用
"Enter the gift card code",ギフトカードコードを入力してください
"Gift Card:",ギフトカード:
"Current Balance: ","現在の残高: "
"See Balance",残高をみる
"Update Catalog Prices",カタログ価格を更新
"If you proceed, catalog prices and cart discounts on this quote will be updated as per the latest changes in the catalog and the price rules.",続行すると、この見積もりのカタログ価格およびカート割引は、カタログおよび価格ルールの最新の変更に従って更新されます。
"Please enter a number greater than 0 in this field",0以上の数を入力してください。
"Please enter a non-decimal number please",10進数でない数字を入力してください
"This is a required option.",これは必須オプションです。
"The field isn't complete.",フィールドが全て埋まっていません。
"Maximum length of the message is ","メッセージの最大長は "
"Decline Quote?",見積もりを拒否しますか？
"If you click [Confirm], all custom pricing from the selected quotes will be removed. The buyers will be able to place orders using their standard catalog prices.",もしクリックすると[Confirm]、選択したクオートから全てのカスタム価格が削除されます。購入者は標準のカタログ価格で注文することができるようになります。
"Decline Quotes?",見積もりを拒否しますか？
"Cannot Decline the Selected Quotes",選択した見積もりを拒否できません
"Only the quotes that are currently in status 'Open' can be declined",現在ステータスが「開く」になっている見積もりのみ、拒否することができます
Confirm,承認
"If you decline this quote, all custom pricing from this quote will be removed. The buyer will be able to place an order using their standard catalog prices and discounts.",この見積もりを拒否すると、この見積もりからすべてのカスタム価格が削除されます。購入者は、標準のカタログ価格と割引を使用して注文することができます。
Proceed,続行
"Your file could not be uploaded. Please try again.",あなたのファイルはアップロードできませんでした。再度お試し下さい。
"You cannot attach more than ten files per comment.",コメントあたり10個を超えるファイルを添付することはできません。
"Cannot Upload File",ファイルをアップロードできません。
"Quote request rules",見積もりリクエストのルール
"Coupon codes and gift cards are not allowed on quotes. Choose whether you'd like to keep the coupon code/gift card without requesting a quote, or request a quote without the coupon code/gift card.","クーポンコードとギフトカードは見積もりに付けることはできません。 見積もりをリクエストせずにクーポンコード/ギフトカードを保持するか、クーポンコード/ギフトカードなしで見積りをリクエストするかを選択して下さい。"
"Go to Checkout",レジへ進む
"The shopping cart isn't empty",ショッピングカートは空ではありません
"You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?","ショッピングカートに商品があります。 この注文の商品とこのショッピングカートの商品をマージ もしくは 置き換えますか？"
"Select Cancel to stay on the current page.",現在のページにとどまるには「キャンセル」を選択します。
"Are you sure you want to delete this quote?",このクオートを削除してもよろしいですか？
"Go to Checkout?",レジへ進みますか？
"Enable B2B Quote",B2Bクオートを有効にする
"Minimum order total for quote request.",見積もりリクエストの最小の注文合計
"Minimum Amount Message",最小のメッセージ
"Default Expiration Period",標準の有効期限
"This period will be used as the default expiration time period for quotes. It can be changed for any quote.","この期間は見積もりのデフォルトの有効期限として使用されます。 どの見積もりでも変更できます。"
"Attached files",添付ファイル
"File formats for upload",アップロード用のファイル形式
"Separate each file extension with a comma. Special symboles like dots, converted commas, asterisk, etc. are not allowed.","各ファイルの拡張子はコンマで区切って下さい。 ドット、引用符、アスタリスクなどの特殊記号は使用できません。"
"Maximum file size",最大ファイルサイズ
"File size in MB. Note that this setting can be overridden by the server settings.","ファイルサイズ（MB）。 この設定はサーバー設定によって上書きすることができます。"
"Updated Quote Template (to Buyer)",更新された見積もりのテンプレート（購入者へ）
"Declined Quote Template (to Buyer)",拒否された見積もりのテンプレート（購入者へ）
"New Quote Template (to Seller)",新しい見積もりのテンプレート（販売者へ）
"Updated Quote Template (to Seller)",更新された見積もりのテンプレート（販売者へ）
"Quote Expiration (in 48 hrs)",見積もり期限（48時間後）
"Quote Expiration (in 24 hrs)",見積もり期限（24時間後）
"Expiration Date Reset",有効期限日のリセット
"Send Quote Email Copy To",見積もりメールのコピー送信先
"Send Quote Email Copy Method",見積もりコピーメール送信方法
"Request, Edit, Delete",リクエスト、編集、削除
"Checkout with quote",クオートでチェックアウト
"View quotes of subordinate users",下位のユーザの見積もりを表示
"Allow Quotes",見積もりを許可する
"Created Date",作成日
"Submitted By",送信者
"Last Updated",最終更新日
"Quote Total (Base)",見積もり合計（ベース）
"Quote Total (Negotiated)",見積もり合計（交渉済み）
"Quote Name",見積り名
"Quote Total",見積もり合計
"%fieldName is a required field.",%fieldNameは必須フィールドです。
"No such public catalog entity",そのような公開カタログのエンティティはありません
"The product that was requested doesn't exist. Verify the product and try again.",要求された商品が存在しません。商品を確認して再度お試し下さい。
"Shared Catalog (or Customer Group)",共有カタログ（もしくは顧客グループ）
"Default Config",標準の設定
"Save Config",設定を保存
"Use system value",システム設定値を使用
"Use Default",標準の値を使用
"Use Website",ウェブサイトの設定を使用する
"Delete File",ファイルを削除
"Search String",検索文字列
"Add \Exception","\Exception 追加"
"-- No Theme --","-- テーマなし --"
Disable,無効
Configuration,設定
"Class for type ""%1"" was not declared","クラスの型 ""%1"" が宣言されていません"
"%1 should implement %2","%1 は、%2 を実装する必要があります"
"You saved the configuration.",設定を保存しました
"Something went wrong while saving this configuration:",この設定を保存中に問題が発生しました:
"Please specify the admin custom URL.",管理画面のURLを指定してください。
"Invalid %1. %2","無効 %1. %2"
"Value must be a URL or one of placeholders: %1","値はURLかプレースホルダーの1つでなければなりません: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","URLかプレースホルダーで始まるパスを指定して下さい: %1, そして""/""で終了してください。"
"%1 An empty value is allowed as well.","%1 空の値も使うことが出来ます。"
"Specify a fully qualified URL.",完全に用件を満たしたURLを指定してください
"Selected allowed currency ""%1"" is not available in installed currencies.","選択された通貨""%1""はインストールされた通貨内で有効ではありません。"
"Default display currency ""%1"" is not available in allowed currencies.","デフォルト表示通貨 ""%1"" 許可された通貨内で有効ではありません。"
"Sorry, we haven't installed the base currency you selected.",申し訳ありません、あなたが選択したベース通貨はインストールされておりません。
"We can't save the Cron expression.",Cron設定を保存できません。
"Sorry, we haven't installed the default display currency you selected.",申し訳ありません、あなたが選択したディフォルト表示通貨はインストールされておりません。
"Sorry, the default display currency you selected is not available in allowed currencies.",申し訳ありません、許可された貨幣の中で選択されたデフォルト表示通貨は存在しません。
"Please correct the email address: ""%1"".","Eメールアドレスを修正してください: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","送信者名 ""%1"" は無効です。キャラクターとスペースのみ使用してください。"
"Maximum sender name length is 255. Please correct your settings.",送信者名の長さは最大255文字です。設定を見なおしてください。
"The file you're uploading exceeds the server size limit of %1 kilobytes.","アップロードしているファイルはサーバーのサイズ制限 %1 キロバイトを超えています。"
"The base directory to upload file is not specified.",ファイルをアップロードするディレクトリが未指定です。
"The specified image adapter cannot be used because of: %1","指定されたイメージアダプタは以下の理由で使用できません： %1"
"Default scope",標準のスコープ
"Base currency",基本通貨
"Display default currency",標準通貨の表示
"website(%1) scope","ウェブサイト(%1) スコープ"
"store(%1) scope","ストア(%1) スコープ"
"Currency ""%1"" is used as %2 in %3.","通貨 ""%1"" %2として%3で使われています。"
"Please correct the timezone.",タイムゾーンを修正してください。
"The file ""%1"" does not exist","ファイル ""%1"" は存在しません"
"The ""%1"" path does not exist","パス ""%1"" は存在しません"
"Always (during development)","常時 (開発中)"
"Only Once (version upgrade)","一度だけ (バージョンアップ)"
"Never (production)","停止 (稼働中)"
Bcc,BCC
"Separate Email",分割メール
"%1 (Default)","%1 (デフォルト)"
Optional,オプション
"Store View",ストアビュー
"HTTP (unsecure)","HTTP (非セキュア)"
"Visible section not found.",表示セクションが見つかりません。
"Config form fieldset clone model required to be able to clone fields",フィールドセットからの複製モデルはフィールドの複製ができることが必要です。
"'There is no defined type ' .","'定義された型はありません' ."
"'Object is not instance of ' .","'オブジェクトはインスタンスではありません ' ."
"Some message",何かのメッセージ
"You cannot run this command because the Magento application is not installed.",Magentoアプリケーションがインストールされていないため、このコマンドを実行することができません。
"This command is unavailable right now.",このコマンドはまだ利用できません
"The ""test/test/test"" path does not exists","""test/test/test"" のパスが存在しません"
"some prefix",いくつかの接頭辞
"element label",要素ラベル
"element hint",要素ヒント
"element comment",要素コメント
"element tooltip",要素ヒント
test2,テスト2
"Add after",追加後
"Current Configuration Scope:",現在の設定スコープ:
Stores,店舗
"Group Label",グループレーベル
"Some Label",あるレーベル
"Tab Label",タブレーベル
"Allow everything",すべてを許可する
"Magento Admin",Magento管理者
"Manage Stores",ストア管理
"Field 2","フィールド 2"
"Field 3","フィールド 3"
"Field 3.1","フィールド 3.1"
"Field 3.1.1","フィールド 3.1.1"
"Field 4","フィールド 4"
"Advanced Section",高度なセクション
"Advanced Admin Section",高度な管理セクション
"Design Section",デザインセクション
"General Section",一般セクション
"System Section",システムセクション
"Currency Setup Section",通貨設定セクション
"Developer Section",開発者セクション
"Web Section",ウェブセクション
